sample,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,E_parent,E_daughter,GT,F,T,M0nu,E_parent_HF,E_daughter_HF,GT_HF,F_HF,T_HF,M0nu_HF,E_parent_EMAX_4,E_daughter_EMAX_4,GT_EMAX_4,F_EMAX_4,T_EMAX_4,M0nu_EMAX_4,E_parent_EMAX_6,E_daughter_EMAX_6,GT_EMAX_6,F_EMAX_6,T_EMAX_6,M0nu_EMAX_6,E_parent_EMAX_8,E_daughter_EMAX_8,GT_EMAX_8,F_EMAX_8,T_EMAX_8,M0nu_EMAX_8,E_parent_EMAX_10,E_daughter_EMAX_10,GT_EMAX_10,F_EMAX_10,T_EMAX_10,M0nu_EMAX_10
0,-0.3486582755845685,-0.3307142075907514,-0.3446700876588422,-0.2258743721447768,2.3862666167479567,1.3168730489985927,-0.051662162938633,-1.2817256704474542,1.016956428894762,0.2233892532007839,-0.7582944730780465,-0.7314361225131955,-0.4881024039857536,-0.5446195322175595,1.1384590867023454,-1.539092069344392,0.1913314966629234,-530.46425657,-535.4809561,11.356607142538264,2.383689690874891,-0.7694907801964662,12.970806053216688,-171.51997881,-167.57662408,-3.0441294055599704,-0.447154907074314,-0.0083746546230008,-3.4996589672572855,-210.01913519,-208.89591891,10.61845174571726,2.178818881330212,-0.477136008987072,12.3201346180604,-352.39843328,-355.74884345,14.32919490999292,2.995050165753873,-0.8550365921418144,16.469208483604977,-451.73126422,-456.33709061,-13.154738881565605,-2.7667614110157586,0.8358510144775855,-15.085649278103778,-507.78360117,-512.63011338,11.980821744426136,2.5154496994668465,-0.7912345801223528,13.70503686377063
4,-0.3585261609612201,-0.3257252167601754,-0.3392391450760876,-0.2375367902818535,2.700538263937702,0.873246996671889,-0.0364938786961966,-1.2430207007850556,0.8580200496335267,0.5303949363090079,-0.9276962675203754,-0.757789978393413,-0.5090682271278095,-0.9915763481325828,1.0094250646363947,0.8075118663729113,-0.2520623699671899,-299.52646849,-302.62510823,-0.170357990720719,-0.10366790612083614,0.0724017776972164,-0.20162411914433875,-26.5810206,-25.54458224,0.1211805718054262,0.03682023235340182,0.007727423075367,0.16572822723419503,4.55800868,7.549142330000002,-0.5971252408680733,-0.11565251688114961,0.3906348236992222,-0.3221429340500007,-153.29368424,-155.19274183,-0.1952695467534154,-0.11073205474708953,0.0761396981207016,-0.22986190337980333,-234.33572119,-237.37574286,0.2381666489046672,0.13047798662829674,-0.0883078438893458,0.28033679164361813,-279.83995388,-283.07725944,-0.1885006978570826,-0.11177264336781648,0.0763288726058579,-0.22394446861904116
7,-0.3290122489899343,-0.3474499542431974,-0.3221355548105358,-0.2331342705505608,2.494721226720179,1.1843002174348276,0.1120834954141158,-0.8998943870319154,0.8815828066529255,0.5205727249575016,-0.9948682852470658,-0.7584507373606426,-0.4106415820130059,-0.4638453576827617,1.0212557569916194,-1.608968477390461,0.573866672238829,-981.61292982,-1003.23692538,7.021936811580505,0.7920349653446758,-0.5809696621302772,7.233002114794903,-605.82310916,-601.2065152299999,-1.4620133462417313,-0.07492992062729803,0.0319553269167251,-1.504987939952304,-524.4644866900001,-530.85066221,-4.68813139396314,-0.7077599653703187,0.1650345074945708,-5.230856851838888,-743.09020415,-757.62348548,-7.822114828294763,-1.4742490751111506,0.6748706052465748,-8.621493298159338,-867.08731277,-883.28455477,-6.363789945972832,-0.6970579289386992,0.5408114848304171,-6.520036390081114,-946.29817444,-966.17310888,6.852527686879272,0.7613728437513714,-0.5708816147065097,7.043018915924134
10,-0.3295015545896151,-0.3331492323221455,-0.3515223592747583,-0.2545388046507148,2.5655771931930405,0.707268712608164,-0.0601025874814376,-0.9959111767081888,0.761071661891724,0.6330251628592818,-0.7881601772878022,-0.7277174534593673,-0.2319718778595925,-0.6246132266053777,1.213730054070106,0.4856019787731569,0.1339199156157804,-1023.97841554,-1023.88218739,-2.048913251210556,-0.5256363748810821,0.713587932683403,-1.8609616934082354,-732.84751588,-722.2090295400001,0.2427965949819674,0.04484873100422128,-0.0035859599631502,0.2840593660230385,-723.9014947400001,-724.20459643,0.7438449983239349,0.3291905859557131,-0.0923426096016833,0.9806929746779647,-865.5252620900001,-864.15995175,1.2083797386086432,0.46463525138251616,-0.4048871723965848,1.2681278175945747,-959.06685751,-958.49849758,-1.6898321780545944,-0.51048517911851,0.5954976960834827,-1.6048196610896217,-1006.35365061,-1006.23525001,-1.9244650759021056,-0.5195505768654113,0.6686907748697276,-1.775324877897789
11,-0.3300584522346145,-0.346945884274239,-0.3481720308035234,-0.2309614509108257,2.6027864090245525,1.1182549513145752,0.1377116412823181,-1.213820663659745,0.5888958752533806,0.3442558093301326,-0.9299035102890758,-0.7433201109071499,-0.605756548756316,-0.8354476637722992,0.9328908457191916,0.2622438568340579,0.590036913282846,-557.28034639,-557.47540294,0.843911679910587,0.4196524381007547,-0.617036371186005,0.6465277468253368,-138.66513913,-130.15662479,0.5112848060770893,0.061810074355052695,0.0166721640486239,0.5897670444807659,-179.04942297,-172.33802944,-0.6394693488769905,-0.27128145807236653,0.1806265805700796,-0.7301242263792774,-337.516993,-336.11215119,-0.6878681577489866,-0.4635233332563901,0.5297763676213525,-0.6216151233840241,-459.30054064,-458.95116328,-0.6614373297859293,-0.46014194541907344,0.6102820994932379,-0.5112971757117648,-528.92589286,-528.84533179,0.7869585188703982,0.4358259213802496,-0.6219178761919113,0.6008665640587365
16,-0.3278492974418792,-0.3550367309847966,-0.328367751155846,-0.2159703826509446,2.314436371843688,1.4129454834735051,0.0542852108915425,-1.0354652385400738,0.5638114312671909,0.3360848606221539,-0.7833818528910661,-0.7265335904943029,-0.3438335172813283,-0.7992194089445993,0.8524830960676553,-0.0958464593602428,0.6982168944707428,-805.6301146999999,-822.9639459699999,6.5933770530968365,0.6706451712492154,-0.9446078960212128,6.319414328324839,-301.65077488,-295.74271993,-3.041513401476027,-0.09433365341643345,0.0824458110989279,-3.0534012437935325,-342.1263811,-344.6974069,-6.2744531752598505,-0.701061535912413,0.5744457336926071,-6.401068977479657,-528.1997183799999,-537.86596777,6.642107514074137,0.5897238232018909,-0.8640930639190358,6.367738273356992,-681.2837420999999,-694.87653654,-6.714403799782717,-0.6258026183152015,0.9389853021399976,-6.401221115957922,-768.69077979,-784.7159919999999,5.6982141298634765,0.6556526172824747,-0.9451264419684836,5.408740305177468
18,-0.3229312343937025,-0.3415034770497674,-0.3354391175497953,-0.2610588282178731,2.488726318990123,0.5197271314374972,0.1520776341601146,-1.177841974343762,0.951599929098148,0.5337028581869873,-0.891455733992116,-0.7006698769023011,-0.645743229103829,-0.7131649081437504,0.9428820288353188,0.6966154193196867,0.4751251999822999,-491.53035917,-493.25907627,-1.2849019287913002,-0.2769481616454906,0.4129607485399988,-1.1488893418967918,-186.89490166,-181.71002662,-0.0381426147514086,-0.031233111449685286,-0.0291575186321827,-0.09853324483327659,-216.70373722,-214.74713192,0.6335955340426098,0.1775022278516555,-0.1394817634406672,0.6716159984535981,-349.21684698,-350.43229736,-1.2644363194157369,-0.31003427639690867,0.3711624321381601,-1.2033081636744853,-433.13412219,-434.96848462,-1.310105456605778,-0.300593282877802,0.4078913940504705,-1.2028073454331094,-475.75832755,-477.46173105,1.3002835659845902,0.28331648415641336,-0.4104059812760395,1.173194068864964
19,-0.3406310653030874,-0.3494216566395463,-0.3428374549883865,-0.2550547646764678,2.455730154528955,0.3561319578458198,-0.126918436178764,-1.2317705649533843,1.048656993966592,0.4211060549603959,-0.6905557349041349,-0.7039393698159386,-0.4394735289759418,-0.6580412037833716,1.1186299861490294,-0.3183652932135474,0.044431338262879,-719.43536408,-726.36908435,3.436605389620468,0.509173560798169,-0.5853676313530267,3.3604113190656104,-428.25133221,-431.09524678,0.5886265009531163,0.07800619601295913,0.0713588988316525,0.7379915957977279,-452.33187086,-456.00382331,3.289665940773314,0.5834235599961286,-0.249262857863431,3.623826642906012,-570.1638833,-575.72896887,4.138009190584896,0.6516319723566159,-0.5434207686208473,4.246220394320664,-654.4095744,-661.00305051,3.831964189313792,0.5857903825852583,-0.5818581145234392,3.835896457375611,-700.52405792,-707.31845145,3.540459698223533,0.5310492711455151,-0.5772166292005859,3.494292340168462
20,-0.3457848932303091,-0.3425519615317169,-0.3383272263450776,-0.2248593564859887,2.4630357745236515,1.2312425986522348,-0.0090198998336228,-0.9247530509382128,0.8953453010708147,0.2865594869853431,-0.964131314252578,-0.7154853614484025,-0.36117244352006,-0.5666812964268294,0.9752377981010116,0.864183859230333,0.4866562663528611,-713.83876738,-718.72865855,6.473755822987148,1.0383654672568174,-0.9042352875669588,6.607886002677008,-300.2757595,-294.14341985,2.9493934494557554,0.34937470363885936,-0.0515333678984223,3.2472347851961922,-339.06575169,-336.89880846,-5.518339416450776,-0.9149473226272592,0.4191730425765949,-6.014113696501441,-495.62075678,-498.35281722,7.117468142289765,1.2032088938717904,-0.7935521145617178,7.527124921599838,-615.36351612,-619.55499541,6.857594396336722,1.1402522800279284,-0.8641368144422547,7.133709861922396,-684.5212296699999,-689.12140236,6.619970017155968,1.074733842484329,-0.8907203351969387,6.803983524443358
21,-0.3538730732320782,-0.3373476806691314,-0.3279602900333571,-0.2131097536223999,2.538786562863053,1.031333821941412,-0.1209691790888669,-1.0622740985030137,0.6524780800238672,0.3503798870487318,-0.9425639798173024,-0.6990421587214807,-0.3222010901851867,-0.5510032186750502,1.043441865770173,1.8253776151093928,0.3441732534656707,-660.32159573,-668.39030607,-3.175295376474273,-0.6265347779928797,0.8115881421865481,-2.9902420122806044,-263.95517837,-264.20713633,0.9411953610449124,0.13592671658741926,-0.0085903946426245,1.0685316829897071,-300.70368032,-303.03045456,-2.1604406194086416,-0.46103215573294964,0.2298227349817664,-2.3916500401598246,-447.51017216,-453.8423765600001,-2.926022911780492,-0.6321270287377139,0.5517066126528458,-3.0064433278653597,-563.59191996,-571.2651899,-2.964148559207816,-0.6240830891623921,0.6670626014823553,-2.9211690468878526,-631.38144874,-639.31422633,-3.0687933172280903,-0.6199110945142123,0.7483472187504296,-2.9403571929918733
