,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,GT,F,T,M0nu,E_parent,E_daughter,GT_HF,F_HF,T_HF,M0nu_HF,E_parent_HF,E_daughter_HF,E_parent_EMAX_4,E_daughter_EMAX_4,GT_EMAX_4,F_EMAX_4,T_EMAX_4,C,M0nu_EMAX_4,E_parent_EMAX_6,E_daughter_EMAX_6,GT_EMAX_6,F_EMAX_6,T_EMAX_6,C_EMAX_6,M0nu_EMAX_6,E_parent_EMAX_8,E_daughter_EMAX_8,GT_EMAX_8,F_EMAX_8,T_EMAX_8,C_EMAX_8,M0nu_EMAX_8,E_parent_EMAX_10,E_daughter_EMAX_10,GT_EMAX_10,F_EMAX_10,T_EMAX_10,C_EMAX_10,M0nu_EMAX_10,sample
2007,-0.3561991764052598,-0.3551422338060104,-0.3499850422217293,-0.2481571457872891,2.787629818761447,0.4330970444321269,-0.0867054439310162,-1.2993292484597436,0.7880004196842763,0.5200889706434243,-0.8462647684441067,-0.7366737819891919,-0.6069157859201317,-0.4789800999145507,0.9303137685739375,-0.5882855441685089,-0.0689435598691643,-0.318052,0.1063655527311054,-0.167071,-0.1916645090830182,-642.162018,-649.657927,0.135111,-0.0296720193440386,-0.027123,0.0270505581251162,-370.079823,-370.987874,-390.96950807,-396.8935374400001,0.0681411682482432,0.09480410044530455,-0.0544930992403218,0.5737354441336703,0.10845216945322594,-502.33658843,-509.27737949,0.0051168859384601,0.1115391449911217,-0.1712494270089222,0.7735631822483163,-0.0545933960793404,-583.95436333,-591.5654346900001,0.0265132982025524,0.10787528448971995,-0.2079017821559292,0.7511428324194683,-0.07351319946365684,-627.92864679,-635.53869131,0.0593210296976975,0.10136995182961801,-0.2166367160883472,0.7201105478069415,-0.05594573456103169,
2460,-0.3462999744343419,-0.3489546603681248,-0.3444446653721763,-0.2430321008107402,2.792354272504572,1.3912787824174464,-0.0807539192388613,-1.1499100006004432,0.880234794714184,0.2921085017283571,-0.947734826928662,-0.7477041601197528,-0.5150233922244699,-0.5975227908875812,0.9526449172841556,-1.885740858577358,0.0789588256265071,0.498738,0.2759470518941037,-0.34129,0.88896241502883,-653.295784,-658.036215,-0.129231,-0.0297966395932791,-0.002327,-0.2172377073594147,-303.376543,-297.954546,-332.68806475,-330.96518931,-0.722492140673293,-0.2529180714401395,0.1373613853957986,-1.1997322601811835,-0.8380488267176339,-462.38958546,-465.58128416,0.6332410699333848,0.2595262815673111,-0.2767773692254972,1.334849672962678,0.6159899822751987,-565.68318211,-570.13517362,-0.5120909659082737,-0.24452610869721716,0.3117102767511324,-1.2736810779350498,-0.4449067978543585,-626.84717037,-631.49378538,-0.5062604191439912,-0.23411985942294117,0.3286775869975127,-1.2515406922992578,-0.41170269156941974,
3448,-0.3375337908109309,-0.345152403821392,-0.3434957593430086,-0.2616083682747382,2.633617612287765,0.4246757364201978,0.0690770053031775,-1.207797304592103,0.967081779680598,0.5442906736415937,-0.7032155442295969,-0.7146324430964295,-0.4357267743675477,-0.7010421234496149,1.0364308494955692,-0.6195862900269595,0.0215809269820596,0.099591,0.1563475726951453,-0.171807,0.3369659703639406,-637.743715,-643.995004,0.0133,-0.0523820447640895,-0.057548,-0.1854415023870047,-388.387662,-390.534395,-410.09702995,-413.0051954,0.3923894664302015,0.14231445102728743,-0.0815231470640493,0.8083830426337936,0.4531807703934396,-520.6431175,-526.02654969,0.7020186807015518,0.21445002312508427,-0.2367952679689261,1.195563736825765,0.67967343585771,-591.087683,-597.31620735,-0.6616530477692928,-0.19644208130555707,0.2555524516628472,-1.107044696552867,-0.6025426774120026,-627.03947554,-633.31688009,0.5988106686164943,0.1747120220552381,-0.2459761404431138,1.001278638118372,0.5275465502286186,
3319,-0.3397079624451349,-0.338740430394751,-0.3364972039300385,-0.2462052884621529,2.566225783380616,1.1786836601091228,0.102754970374837,-1.2319314522487992,0.878029093355952,0.360322039535111,-0.7060025303994646,-0.7507386793586437,-0.349281154251803,-0.8462346145513461,1.0874976492569106,1.357475322780092,0.5227034262791939,0.284904,0.2674902349804699,-0.270992,0.6438243318246635,-590.585678,-596.5838441,-0.284924,-0.0791846983693967,-0.051942,-0.5370521243722487,-269.939502,-269.439563,-290.68942657,-291.27912366,0.926391093810489,0.24269844948850222,-0.1780620124107916,1.1684935609833125,0.9910275308881996,-437.01745142,-442.00758432,-1.2505147830706544,-0.35674930732509713,0.322762835940766,-1.5164089508808525,-1.2845012544549856,-532.02426352,-538.15107628,1.0502723898273931,0.3169223335849789,-0.3361485424996439,1.383891149111902,1.0310461809127283,-585.46329997,-591.7042541,0.9116827370331132,0.27838162476414335,-0.323873806833956,1.2508844307094866,0.8661905549633007,
1172,-0.3373968406825651,-0.3378461748979561,-0.3346290319304293,-0.2360981818302325,2.6405785448484025,0.8419563573880249,0.0347769782366893,-1.0987109738204526,0.7779628737409161,0.3105500057427504,-0.7061847740370137,-0.7360343479585615,-0.271296918508165,-0.9343333560503104,1.1421644476131176,-1.7972104599756071,0.0384382770374619,-0.280461,0.1636642073284146,-0.195767,-0.0725065045570091,-620.014397,-626.984887,-0.084264,-0.0531167462334924,-0.033043,-0.2577572449004898,-297.292117,-296.589466,-322.604253,-326.22131997,0.3249566679608626,0.1479620457269804,-0.0728967152960857,0.7566937869990912,0.4000219983917573,-450.49004895,-456.41181665,-0.4032749426946442,-0.20307446223835818,0.2170476579635911,-1.0349380315320815,-0.3893017469694113,-543.2987401,-550.20836244,0.3023269571942049,0.18619002862945278,-0.237900439303669,0.959979052403638,0.25061654651998866,-597.88879962,-604.90400856,-0.2556111165248554,-0.16639301836913709,0.234676489835108,-0.884333676757021,-0.18732764505888447,
90,-0.3410942498785881,-0.3401008066554051,-0.3430017305685818,-0.2448139817755862,2.646358604435898,1.470509143052857,0.086395485951671,-1.067311929723883,0.8662559698231979,0.3655200366300498,-0.7932613171462731,-0.7143131320859712,-0.3007045738253089,-0.8379474626765888,1.1031885440025904,0.534864563435137,0.2914674307377614,0.736299,0.313014446028892,-0.298462,1.1504416252092504,-609.762295,-613.269443,0.396936,0.064276148552297,-0.001996,0.5419107979415958,-271.38372,-267.462401,-288.50305273000004,-285.71091067000003,-0.8083447137009271,-0.22865706935875652,0.1594413920680212,-1.0460805180373705,-0.8775603909916624,-438.073247,-440.38951513,-1.0084144238434587,-0.328210759894739,0.2801363824734953,-1.3206034383594265,-1.0564888012647025,-532.6797885599999,-536.0279336599999,-0.8678941051870542,-0.30102826759174384,0.3007295729503408,-1.2303002228482356,-0.8681927998284573,-586.5860845,-589.98642855,0.7725863744558118,0.27112832027031886,-0.2963693361319551,1.1351942869906793,0.7473453585941756,
723,-0.3384276254821959,-0.3443678224757009,-0.3401555771985092,-0.2448686658540285,2.665526512796533,0.9720353166772716,0.1232971514073973,-0.8549746459040758,0.8887495963411257,0.3157835281508084,-0.8704104124163468,-0.7477087558235176,-0.3678686683825161,-0.82897182303974,1.032171489418606,0.2108799686999836,0.4382971653458081,0.41369,0.2673426746853493,-0.337196,0.7398980548081096,-628.987025,-633.022476,-0.143516,-0.0607148614297228,-0.016524,-0.3074886948973898,-254.04409,-249.164484,-278.23639859,-277.30140883,-0.8461317077193548,-0.2029953464688378,0.1782416997632107,-1.1189733853684676,-0.8708853544249818,-437.52045397,-440.90228923,1.1646811598487878,0.29826738210753817,-0.3414531951916766,1.4364619140248966,1.1214953467646493,-543.46278849,-547.89736281,1.0816523956722237,0.2771157198484285,-0.3758540191659799,1.3720720352051146,0.9829140963546723,-604.88298894,-609.39445561,-1.0385953319597532,-0.25453581878123926,0.3831882364374139,-1.3094073556812351,-0.9099429143035784,
2245,-0.3424032312961775,-0.3503247298721993,-0.3479030299854192,-0.2693237107142308,2.627394935850898,0.4989972575496257,-0.0303535633166897,-1.1652503601523836,1.028755380071928,0.6349284378916354,-1.0028720005834124,-0.7289296974660681,-0.6674837051910362,-0.3787215395426105,0.8731463042258956,1.7788473006491987,0.2395790644970369,0.924271,0.1806950213900427,-0.359825,1.1362529316138632,-699.06837,-700.438765,-0.062261,0.002254324508649,-0.002931,-0.0397847211854423,-413.736353,-407.17702,-437.29392743,-436.89327546,0.4092131975497858,0.11329551120655762,-0.0827843526818605,0.6662597416046965,0.43972435607448285,-559.8918921000001,-561.14678814,-1.0341778826809425,-0.17818309743031657,0.3181956057992655,-1.1994433433575278,-0.8941653743119937,-644.79247265,-646.67276015,-1.3496354795601566,-0.18657157820495499,0.436180102635726,-1.3434825967079158,-1.1000269551293858,-687.6151026499999,-689.39676874,1.4864506680737288,0.1823946625877639,-0.4918809244339092,1.3884035493729885,1.1769644062275835,
1469,-0.355869510812514,-0.346321335714712,-0.3493401916923613,-0.2528899841778904,2.760598352577721,1.090320037637155,-0.066718606657092,-1.2866320287360464,0.8586778850204451,0.516909575453787,-0.8384809251001734,-0.703499754839359,-0.4650149522862798,-0.6531962007508492,0.962466523486354,1.6866609705814395,0.4112600974467224,-0.075195,0.13250046500093,-0.170534,0.0665452885485771,-664.883835,-670.30441,0.022578,-0.034751069502139,-0.016553,-0.0836475153450306,-366.651922,-364.685686,-390.67862812,-393.00903499,-0.123531069238195,-0.09548165527261641,0.0548885577437117,-0.4819753588612415,-0.1641241667670997,-514.00454983,-518.95375552,0.2746894476806065,0.1628767186687985,-0.1851829465546572,0.771699806038675,0.25238321979474776,-600.59995586,-606.36505861,0.2866419852607804,0.15527943111402134,-0.2152597809887224,0.7376171919849618,0.22666163538607936,-648.22722423,-653.89837157,0.2699297199841283,0.13843356189308284,-0.2148902223035767,0.679247863276488,0.19347305957363445,
1177,-0.3352594310815703,-0.3376977921370822,-0.3347828313865114,-0.2422026702941019,2.529352894313678,1.1066256182657463,0.0024707790849634,-1.1967544648826798,0.7879327158118581,0.3929633364785411,-0.8585735759286969,-0.7286814475508706,-0.3844450895874497,-0.7903444976806395,1.018132285312055,-1.079773523180008,-0.0174629101111112,1.330779,0.3662384524769049,-0.468634,1.8904863726827448,-677.724207,-680.970649,-0.621484,-0.0777221154442308,-0.018558,-0.884277972471945,-359.443753,-354.987929,-385.16033488,-384.24126672,0.8352315684917705,0.2186189523203654,-0.096545152575203,1.0360099344146023,0.9573053682369328,-507.16779707,-509.28308877,1.179708539044819,0.3132384626255202,-0.3333303828371846,1.624440118845365,1.1596166188331547,-602.36727344,-605.4516439399999,-1.2276622786143314,-0.310545639525819,0.4050822597047634,-1.6664687377362617,-1.133125658435387,-655.95374256,-659.16895044,-1.289925927371265,-0.3056521473569332,0.4412442907093951,-1.682911273467768,-1.154333784018803,
