,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,GT,F,T,CT,$M^{0\nu}$,Eparent,Edaughter,Qvalue,Rch,DGT,2+_parent,2+_daughter,$\sigma\tau$,B(E2),$M^{2\nu}$,GT_HF,F_HF,T_HF,CT_HF,$M^{0\nu}$_HF,Eparent_HF,Edaughter_HF,Qvalue_HF,Rch_HF,DGT_HF,2+_parent_HF,2+_daughter_HF,$\sigma\tau$_HF,B(E2)_HF,$M^{2\nu}$_HF
2007,-0.3561991764052598,-0.3551422338060104,-0.3499850422217293,-0.24815714578728915,2.787629818761447,0.4330970444321269,-0.0867054439310162,-1.2993292484597436,0.7880004196842763,0.5200889706434243,-0.8462647684441067,-0.7366737819891919,-0.6069157859201317,-0.4789800999145507,0.9303137685739377,-0.5882855441685089,-0.06894355986916434,-0.318052,0.1063655527311054,-0.167071,0.1870929381858763,-0.1916645090830182,-642.162018,-649.657927,9.065908999999984,3.91177,-0.843038,0.50748653,0.59119804,0.0674,,0.0436773058737924,0.135111,-0.0296720193440386,-0.027123,-0.051265422530845,0.0270505581251162,-370.079823,-370.987874,2.4780510000000007,,,,,,,
2460,-0.3462999744343419,-0.34895466036812484,-0.34444466537217633,-0.24303210081074023,2.792354272504572,1.3912787824174464,-0.08075391923886133,-1.1499100006004432,0.880234794714184,0.2921085017283571,-0.947734826928662,-0.7477041601197528,-0.5150233922244699,-0.5975227908875812,0.9526449172841555,-1.885740858577358,0.07895882562650713,0.498738,0.2759470518941037,-0.34129,0.4555673631347263,0.88896241502883,-653.295784,-658.036215,6.310430999999944,3.918118,-0.461335,1.27985225,1.51920833,-0.0418309999999999,,-0.0329508758389522,-0.129231,-0.0297966395932791,-0.002327,-0.0558830677661355,-0.2172377073594147,-303.376543,-297.954546,-3.8519970000000328,,,,,,,
3448,-0.3375337908109309,-0.345152403821392,-0.34349575934300863,-0.2616083682747382,2.6336176122877655,0.42467573642019785,0.06907700530317751,-1.207797304592103,0.9670817796805979,0.5442906736415937,-0.7032155442295969,-0.7146324430964295,-0.4357267743675477,-0.7010421234496149,1.0364308494955692,-0.6195862900269595,0.0215809269820596,0.099591,0.1563475726951453,-0.171807,0.2528343976687953,0.3369659703639406,-637.743715,-643.995004,7.821289000000043,4.023245,-0.681766,0.72485571,0.747696,0.073709,,-0.026806782016443,0.0133,-0.0523820447640895,-0.057548,-0.0888114576229152,-0.1854415023870047,-388.387662,-390.534395,3.716733000000041,,,,,,,
3373,-0.3360010774439755,-0.33478660793971,-0.3296070289416266,-0.2503106376586037,2.4300103014691112,0.2737999398305442,-0.03779943474289282,-1.1803764904278686,0.8586434560873846,0.4620109927554711,-0.8421333660232699,-0.7202078052663741,-0.48702800290815595,-0.6106236621325197,0.9924095375866969,1.946797369586339,0.2214193125333086,1.123412,0.19752247504495,-0.45889,0.410505053010106,1.272549528055056,-677.023128,-685.690353,10.237224999999915,3.987282,0.09666,0.53927999,0.85349222,,,,0.071384,-0.0466662533325066,-0.030117,-0.068260276520553,-0.0736595298530596,-307.472174,-307.586168,1.683993999999991,,,,,,,
1141,-0.333399466874892,-0.3397748254467075,-0.33645006197931676,-0.2378861273747241,2.4598968079672456,0.8758619459524486,-0.0617715313280055,-1.0885191786689121,0.8828793472457662,0.2036551569867331,-0.9079420562794822,-0.7285506423578995,-0.475402080398795,-0.6580620986452529,0.9292897210808276,1.4694398117205876,0.4397269657666376,2.998911,0.5306708413416826,-0.846551,0.9845851571703144,3.667615998511997,-667.547405,-671.407828,5.430422999999969,4.050725,0.506071,1.35337386,1.86474094,0.054151,,0.021574189790812,0.56547,0.0708401016802033,-0.008454,0.1068702337404674,0.7347263354206709,-217.484551,-212.959711,-2.9548400000000115,,,,,,,
3319,-0.3397079624451349,-0.33874043039475105,-0.33649720393003857,-0.24620528846215292,2.566225783380616,1.1786836601091228,0.10275497037483705,-1.2319314522487992,0.878029093355952,0.36032203953511105,-0.7060025303994646,-0.7507386793586437,-0.34928115425180306,-0.8462346145513461,1.0874976492569106,1.357475322780092,0.5227034262791939,0.284904,0.2674902349804699,-0.270992,0.3624220968441936,0.6438243318246635,-590.585678,-596.5838441,7.568166099999935,4.153206,-0.960006,0.90543169,0.99639272,0.060646,,-0.0495040827782209,-0.284924,-0.0791846983693967,-0.051942,-0.1210014260028519,-0.5370521243722487,-269.939502,-269.439563,1.0700610000000166,,,,,,,
3098,-0.35737390132639196,-0.34948795700509877,-0.3519979752365197,-0.26157629271787963,2.703318069405788,0.649412260013154,-0.1269056388524505,-0.9334279391831677,0.9954205382355459,0.45589314786881585,-0.9383625292113076,-0.7109977952837241,-0.6002913003653344,-0.5114067521350003,0.8855235820475178,1.0744801561766004,0.20218418357180312,0.920518,0.334023808047616,-0.344127,0.449771219542439,1.360186027590055,-609.175584,-614.393519,6.787935000000012,4.129523,-0.425747,0.79665776,0.93313621,-0.0612609999999999,,0.0094801305388004,-0.074731,-0.0716144832289664,-0.023157,-0.0844832289664579,-0.2539857121954244,-281.234959,-279.04222,-0.6227390000000173,,,,,,,
1429,-0.3472387700426233,-0.3495517387298223,-0.34665116781062283,-0.2366876243372129,2.5886338826121356,0.2918789102325163,-0.13677742891479427,-1.093618782702265,0.8479975820831118,0.188975446820098,-0.9309006250278649,-0.7174541858561314,-0.6267873909197477,-0.46860958729487456,0.9007234434486447,-0.12179657314865722,-0.029743049159890456,1.579798,0.3734317068634136,-0.646174,0.6824454088908177,1.9895011157542315,-642.382521,-648.230775,7.418253999999997,4.018061,-0.258501,0.89778205,1.3542186,0.228932,,-0.0603669128865032,-0.186881,-0.0663382726765453,-0.02264,-0.1027164734329468,-0.3785757461094922,-203.341352,-199.683074,-2.0882779999999954,,,,,,,
3895,-0.3497816661167435,-0.34757080071559215,-0.35163564400474195,-0.2382840195333059,2.7702787652043908,1.0028268316976205,-0.030132938134690868,-1.041316560396572,0.8995425616905166,0.1849463935447094,-0.8036096404813953,-0.7220937867580923,-0.45088306260177097,-0.6883368474826418,0.9885488122564826,1.7589277310090732,0.728767740980975,0.191115,0.2752179304358608,-0.29565,0.3262148924297848,0.4968978228656457,-601.825892,-606.850954,6.595062000000048,4.219436,-1.067247,0.87775103,1.03898866,-0.073606,,0.0740380659535536,-0.225054,-0.0804501209002418,-0.041172,-0.1019981399962799,-0.4486742608965218,-184.803394,-182.365486,-0.867907999999993,,,,,,,
1172,-0.33739684068256515,-0.3378461748979561,-0.33462903193042937,-0.2360981818302325,2.6405785448484025,0.8419563573880249,0.03477697823668935,-1.0987109738204526,0.7779628737409161,0.3105500057427504,-0.7061847740370137,-0.7360343479585615,-0.27129691850816506,-0.9343333560503104,1.1421644476131176,-1.7972104599756071,0.03843827703746194,-0.280461,0.1636642073284146,-0.195767,0.2400572881145762,-0.0725065045570091,-620.014397,-626.984887,8.540489999999927,4.036517,-1.139485,0.74115441,0.78344687,-0.056382,,0.0713466427818237,-0.084264,-0.0531167462334924,-0.033043,-0.0873334986669973,-0.2577572449004898,-297.292117,-296.589466,0.867348999999997,,,,,,,
